trifluoroacetaldehyde = CF3CHO, TFALD
  = x = stratosphere only
p = p = p-T fit interpolate in pressure (then read in press and M next 2 lines
p/hPa  133  566  866    approx 17 - 5 - 1 km
[M]   0.58 1.50 2.46    M in e19
T/K    220  272  295    read in up to 3 titles depending on number of T's>0
TFALD  |CF3CHO > | Trifluoroacetaldehyde = CF3CHO  JPL10
TFALD                  | =>CF3H + CO 
TFALD
Table 4D-21. Absorption Cross Sections of CF3CHO at 298 K (1e-20)
               13 km    5 km    0 km
             0.58+19 1.50+19 2.46+19
                 220     272     295
  24 (f3.0,f6.3,5x,3f8.4)
240 0.155     0.4000  0.4000  0.4000
248 0.311     0.3580  0.3580  0.3580
252 0.433     0.3879  0.3879  0.3879
258 0.686     0.3791  0.3791  0.3791
266 1.150     0.4070  0.4070  0.4070
275 1.820     0.2000  0.2000  0.1600
281 2.280     0.1140  0.1140  0.0564
284 2.500     0.0706  0.0706  0.0350
286 2.630     0.0512  0.0512  0.0235
288 2.730     0.0336  0.0336  0.0160
290 2.860     0.0312  0.0312  0.0101
292 2.940     0.0236  0.0236  0.0075
294 3.050     0.0178  0.0178  0.0047
296 3.080     0.0131  0.0131  0.0031
298 3.100     0.0091  0.0091  0.0021
300 2.170     0.0072  0.0072  0.0013
302 3.150     0.0050  0.0050  0.0009
304 3.150     0.0033  0.0033  0.0005
305 3.130     0.0030  0.0030  0.0004
308 2.970     0.0018  0.0018  0.0003
310 2.920     0.0012  0.0012  0.0001
314 2.670     0.0006  0.0006  0.0000
320 2.250     0.0002  0.0002  0.0000
326 1.720     0.0000  0.0000  0.0000 

